Date : 2021-09-07 23:35:47
Directory : c:\Users\syedh\OneDrive\Desktop\Antive\src
Total : 312 files,  16148 codes, 2439 comments, 1755 blanks, all 20342 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| OfficialLandingPage\Sections\PlainFooter                                                                                                                                   |          1 |         82 |          2 |          8 |         92 |
| OfficialLandingPage\Sections\PlainServices                                                                                                                                 |         73 |      1,028 |         28 |        115 |      1,171 |
| OfficialLandingPage\Sections\PlainServices\TwoColSingleFeatureWithStats2                                                                                                   |          1 |        107 |          2 |         11 |        120 |
| OfficialLandingPage\Sections\PlainServices\TwoColWithButton                                                                                                                |          1 |         75 |          1 |         10 |         86 |
| OfficialLandingPage\Sections\PlainServices\TwoColWithTwoHorizontalFeaturesAndButton                                                                                        |          4 |        568 |         24 |         60 |        652 |
| OfficialLandingPage\Sections\PlainServices\images                                                                                                                          |         64 |        267 |          1 |         29 |        297 |
| OfficialLandingPage\Sections\PlainServices\misc                                                                                                                            |          3 |         11 |          0 |          5 |         16 |
| OfficialLandingPage\Sections\PlainTestimonials                                                                                                                             |          1 |        141 |          0 |         11 |        152 |
| OfficialLandingPage\Sections\Services                                                                                                                                      |          1 |        336 |         25 |         42 |        403 |
| OfficialLandingPage\Sections\Testimonials                                                                                                                                  |          1 |        104 |          6 |         16 |        126 |
| OfficialLandingPage\assets                                                                                                                                                 |         25 |        147 |          0 |          7 |        154 |
| OfficialLandingPage\components                                                                                                                                             |         10 |        609 |         84 |         73 |        766 |
| OfficialLandingPage\components\Card                                                                                                                                        |          1 |         72 |          1 |         10 |         83 |
| OfficialLandingPage\components\FAQS                                                                                                                                        |          4 |        131 |          1 |         13 |        145 |
| OfficialLandingPage\components\FAQS\misc                                                                                                                                   |          3 |         11 |          0 |          5 |         16 |
| OfficialLandingPage\components\Footer                                                                                                                                      |          1 |         70 |          1 |          5 |         76 |
| OfficialLandingPage\components\Header                                                                                                                                      |          1 |        244 |         10 |         22 |        276 |
| OfficialLandingPage\components\ScrollToTop                                                                                                                                 |          1 |          0 |         68 |          8 |         76 |
| OfficialLandingPage\components\SvgBlock                                                                                                                                    |          1 |         25 |          2 |          4 |         31 |
| OfficialLandingPage\components\TextBlock                                                                                                                                   |          1 |         67 |          1 |         11 |         79 |
| OfficialLogin                                                                                                                                                              |          4 |        404 |        600 |         46 |      1,050 |
| OfficialLogin\image                                                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| OfficialNavbar                                                                                                                                                             |         24 |        755 |         26 |         58 |        839 |
| OfficialNavbar\ChakraNav                                                                                                                                                   |          5 |        335 |          5 |         28 |        368 |
| OfficialNavbar\ChakraNav\pages                                                                                                                                             |          1 |         13 |          0 |          3 |         16 |
| OfficialNavbar\assets                                                                                                                                                      |         17 |        103 |          0 |          1 |        104 |
| OfficialSignup                                                                                                                                                             |          4 |        426 |         13 |         44 |        483 |
| OfficialSignup\image                                                                                                                                                       |          2 |         49 |          0 |          2 |         51 |
| PageNotFound                                                                                                                                                               |          3 |        103 |          0 |         14 |        117 |
| PageResize                                                                                                                                                                 |          3 |        102 |          1 |         15 |        118 |
| PrivacyPolicy                                                                                                                                                              |          2 |        299 |          1 |         17 |        317 |
| PrivacyPolicy\misc                                                                                                                                                         |          1 |          6 |          0 |          2 |          8 |
| ResizeHeight                                                                                                                                                               |          3 |         90 |         16 |         15 |        121 |
| Sidebar&Header                                                                                                                                                             |          7 |        646 |         46 |         81 |        773 |
| Sidebar&Header\Header                                                                                                                                                      |          2 |        224 |         14 |         33 |        271 |
| Sidebar&Header\SideNavbar                                                                                                                                                  |          5 |        422 |         32 |         48 |        502 |
| Signin                                                                                                                                                                     |          8 |        556 |        130 |         84 |        770 |
| Signin\context                                                                                                                                                             |          1 |         50 |        106 |         28 |        184 |
| Signin\image                                                                                                                                                               |          2 |         49 |          0 |          2 |         51 |
| TOS                                                                                                                                                                        |          2 |        818 |          1 |         24 |        843 |
| TOS\misc                                                                                                                                                                   |          1 |          6 |          0 |          2 |          8 |
| UpdateProfile                                                                                                                                                              |          5 |        475 |         16 |         53 |        544 |
| UpdateProfile\image                                                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| dashboardCS                                                                                                                                                                |          2 |         24 |          0 |          5 |         29 |
| pages                                                                                                                                                                      |         17 |        507 |         26 |         77 |        610 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                   | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\AddProject.js                                                                                                 | JavaScript |         81 |         79 |         12 |        172 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\AddTask.js                                                                                                    | JavaScript |        174 |        169 |         21 |        364 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\Checkbox.js                                                                                                   | JavaScript |         21 |          1 |          4 |         26 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\IndividualProject.js                                                                                          | JavaScript |         59 |          1 |          4 |         64 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\ProjectOverlay.js                                                                                             | JavaScript |         44 |          0 |          3 |         47 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\Projects.js                                                                                                   | JavaScript |         32 |          0 |          4 |         36 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\TaskDate.js                                                                                                   | JavaScript |         85 |          0 |          2 |         87 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\Tasks.js                                                                                                      | JavaScript |         43 |          0 |          8 |         51 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\layout\AgendaElements.js                                                                                      | JavaScript |         66 |         10 |         12 |         88 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\layout\Content.js                                                                                             | JavaScript |          9 |          0 |          3 |         12 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\layout\HeaderAgenda.css                                                                                       | CSS        |         11 |          1 |          4 |         16 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\layout\HeaderAgenda.js                                                                                        | JavaScript |         48 |          6 |         10 |         64 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\layout\SidebarAgenda.js                                                                                       | JavaScript |        127 |          6 |          5 |        138 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\constants\index.js                                                                                                       | JavaScript |          5 |          0 |          0 |          5 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\context\index.js                                                                                                         | JavaScript |         18 |          0 |          3 |         21 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\context\projects-context.js                                                                                              | JavaScript |         16 |          0 |          4 |         20 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\context\selected-project-context.js                                                                                      | JavaScript |         17 |          0 |          4 |         21 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\helpers\index.js                                                                                                         | JavaScript |         25 |          0 |         10 |         35 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\hooks\index.js                                                                                                           | JavaScript |         67 |         66 |         24 |        157 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\App.css                                                                                                                         | CSS        |         11 |          1 |          2 |         14 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\App.js                                                                                                                          | JavaScript |         71 |         31 |          9 |        111 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\App.scss                                                                                                                        | SCSS       |        718 |         53 |         98 |        869 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\Balance.js                                                                                                               | JavaScript |         23 |          5 |          4 |         32 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\BudgetPages.css                                                                                                          | CSS        |          6 |          0 |          1 |          7 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\BudgetPages.js                                                                                                           | JavaScript |         50 |          4 |         14 |         68 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\DashboardExpenseCard.js                                                                                                  | JavaScript |        104 |         44 |         14 |        162 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\ExpenseCard.js                                                                                                           | JavaScript |         88 |         23 |         12 |        123 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\NewTransaction.js                                                                                                        | JavaScript |        112 |          0 |          7 |        119 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\Transaction.js                                                                                                           | JavaScript |         88 |         15 |          9 |        112 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\TransactionDash.js                                                                                                       | JavaScript |        110 |         17 |         10 |        137 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\TransactionIterate.js                                                                                                    | JavaScript |         36 |          4 |          6 |         46 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\styles.css                                                                                                               | CSS        |         73 |          6 |         12 |         91 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat2\components\ChatFeed.js                                                                                                    | JavaScript |         78 |          0 |         10 |         88 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat2\components\MessageForm.js                                                                                                 | JavaScript |         49 |          0 |         10 |         59 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat2\components\MyMessage.js                                                                                                   | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat2\components\TheirMessage.js                                                                                                | JavaScript |         28 |          0 |          2 |         30 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat2\page\Chatdisplaypage.js                                                                                                   | JavaScript |         19 |          3 |          7 |         29 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat2\styles\chatstyles.css                                                                                                     | CSS        |          0 |        296 |          1 |        297 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat\components\Chats.js                                                                                                        | JavaScript |         95 |         10 |         17 |        122 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat\index.css                                                                                                                  | CSS        |        367 |         79 |         68 |        514 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\ComingSoon\ComingSoon.css                                                                                                       | CSS        |         44 |          0 |          8 |         52 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\ComingSoon\ComingSoon.js                                                                                                        | JavaScript |         39 |          1 |          4 |         44 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\ComingSoon\ComingSoonElements.js                                                                                                | JavaScript |         20 |          0 |          3 |         23 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\DriveElements.js                                                                                                      | JavaScript |         17 |          0 |          4 |         21 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\components\BudgetDash.js                                                                                              | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\components\DriveDash.js                                                                                               | JavaScript |         63 |          5 |          8 |         76 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\components\TaskDash.js                                                                                                | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\dashboard.css                                                                                                         | CSS        |        163 |         22 |         32 |        217 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\index.js                                                                                                              | JavaScript |         64 |         63 |          7 |        134 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\pages\BudgetDashPage.js                                                                                               | JavaScript |         11 |          2 |          3 |         16 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\pages\DriveDashPage.js                                                                                                | JavaScript |         16 |          2 |          5 |         23 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\pages\TaskDashPage.js                                                                                                 | JavaScript |         15 |          3 |          5 |         23 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\Buttons\AddFileButton.js                                                                                       | JavaScript |        132 |        125 |         27 |        284 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\Buttons\AddFolderButton.js                                                                                     | JavaScript |         98 |          0 |         11 |        109 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\Buttons\HomeButton.js                                                                                          | JavaScript |         20 |          0 |          2 |         22 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\files\File.js                                                                                                  | JavaScript |        101 |          0 |          6 |        107 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\files\FilesEmptyState.js                                                                                       | JavaScript |         22 |          0 |          2 |         24 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\files\FilesTable.js                                                                                            | JavaScript |         27 |          0 |          2 |         29 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\files\FilesTableSkeleton.js                                                                                    | JavaScript |         45 |          0 |          3 |         48 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\folders\Folder.js                                                                                              | JavaScript |         73 |         10 |         10 |         93 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\folders\FolderGrid.js                                                                                          | JavaScript |         13 |          0 |          2 |         15 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\layout\DashboardDrive.js                                                                                       | JavaScript |        190 |         12 |         17 |        219 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\layout\DashboardDriveElements.js                                                                               | JavaScript |         39 |          1 |          8 |         48 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\layout\FolderBreadCrumbs.js                                                                                    | JavaScript |         48 |          0 |          3 |         51 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\popupmodal\Modal.css                                                                                           | CSS        |         24 |          0 |          4 |         28 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\popupmodal\Modal.js                                                                                            | JavaScript |        144 |          0 |         15 |        159 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\hooks\useFolder.js                                                                                                        | JavaScript |        132 |        132 |         21 |        285 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\utilities\CenterContainer.js                                                                                              | JavaScript |         21 |          0 |          3 |         24 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\utilities\theme.js                                                                                                        | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Forgotpass\forgotpass.css                                                                                                       | CSS        |        210 |         26 |         26 |        262 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Forgotpass\forgotpass.js                                                                                                        | JavaScript |         47 |          0 |          8 |         55 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Forgotpass\image\forgotpass.svg                                                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Forgotpass\index.js                                                                                                             | JavaScript |         27 |          0 |          3 |         30 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\ButtonElements.js                                                                                        | JavaScript |         22 |          0 |          2 |         24 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Footer\FooterElements.js                                                                                 | JavaScript |        160 |          6 |         10 |        176 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Footer\index.js                                                                                          | JavaScript |         64 |          0 |          5 |         69 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Hero\HeroElements.js                                                                                     | JavaScript |         94 |          1 |          5 |        100 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Hero\index.js                                                                                            | JavaScript |         27 |          0 |          4 |         31 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Info\Data.js                                                                                             | JavaScript |         68 |          0 |          4 |         72 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Info\InfoElements.js                                                                                     | JavaScript |         99 |          0 |          3 |        102 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Info\index.js                                                                                            | JavaScript |         57 |          1 |          3 |         61 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Navbar\NavbarElements.js                                                                                 | JavaScript |        125 |          1 |          6 |        132 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Navbar\index.js                                                                                          | JavaScript |         64 |         11 |          7 |         82 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\ScrollToTop.js                                                                                           | JavaScript |          9 |          0 |          3 |         12 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Services\ServiceElements.js                                                                              | JavaScript |         75 |          0 |          3 |         78 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Services\index.js                                                                                        | JavaScript |         36 |          0 |          2 |         38 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\SideBar\SidebarElements.js                                                                               | JavaScript |         89 |          1 |          4 |         94 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\SideBar\index.js                                                                                         | JavaScript |         34 |          2 |          3 |         39 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\EasyAccess.svg                                                                                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\Privacy.svg                                                                                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\Security.svg                                                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\ToolUnity.svg                                                                                                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\ToolUnity1.svg                                                                                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\VarietyOptions.svg                                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\svg-1.svg                                                                                                    | XML        |         45 |          0 |          1 |         46 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\svg-3.svg                                                                                                    | XML        |         46 |          0 |          1 |         47 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\svg-4.svg                                                                                                    | XML        |         41 |          0 |          1 |         42 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\svg-5.svg                                                                                                    | XML        |         72 |          0 |          1 |         73 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Login\Login.css                                                                                                                 | CSS        |        295 |         20 |         34 |        349 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Login\Login.js                                                                                                                  | JavaScript |         94 |          6 |         12 |        112 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Login\image\login.svg                                                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Login\index.js                                                                                                                  | JavaScript |         25 |          0 |          3 |         28 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Login\toastInfo.js                                                                                                              | JavaScript |         14 |          0 |          1 |         15 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialForgotPass\OfficialForgotPass.css                                                                                       | CSS        |        235 |          9 |         27 |        271 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialForgotPass\OfficialForgotPass.js                                                                                        | JavaScript |         80 |          4 |         11 |         95 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialForgotPass\image\forgotpass.svg                                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Pages\Home.js                                                                                               | JavaScript |         58 |          7 |          6 |         71 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\About\index.js                                                                                     | JavaScript |        144 |          0 |         14 |        158 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\Contact\index.js                                                                                   | JavaScript |        169 |          2 |          7 |        178 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\Hero\index.js                                                                                      | JavaScript |        216 |         12 |         25 |        253 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainFooter\MinimalFooter.js                                                                       | JavaScript |         82 |          2 |          8 |         92 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\TwoColSingleFeatureWithStats2\TwoColSingleFeatureWithStats2.js                       | JavaScript |        107 |          2 |         11 |        120 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\TwoColWithButton\TwoColWithButton.js                                                 | JavaScript |         75 |          1 |         10 |         86 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\TwoColWithTwoHorizontalFeaturesAndButton\TwoColHorizontalFeaturesfour.js             | JavaScript |        142 |          6 |         15 |        163 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\TwoColWithTwoHorizontalFeaturesAndButton\TwoColHorizontalFeaturesthree.js            | JavaScript |        142 |          6 |         15 |        163 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\TwoColWithTwoHorizontalFeaturesAndButton\TwoColHorizontalFeaturestwo.js              | JavaScript |        142 |          6 |         15 |        163 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\TwoColWithTwoHorizontalFeaturesAndButton\TwoColWithTwoHorizontalFeaturesAndButton.js | JavaScript |        142 |          6 |         15 |        163 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\Budget.svg                                                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\Chat.svg                                                                      | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\TodoList.svg                                                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\Vault.svg                                                                     | XML        |          1 |          0 |          0 |          1 |
